layer_0,layer_1,layer_2,file_name
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_10131.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_10225.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_11307.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_11678.csv
1,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_13049.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_13886.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_14105.csv
1,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_14875.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_15682.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_17119.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_17128.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_17611.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_17755.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_17842.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_18273.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_18462.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_18939.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_19082.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_19209.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_23171.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_24009.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_24027.csv
1,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_24297.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_24632.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_24656.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_25993.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_26549.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_26732.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_26942.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_26965.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_27025.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_28164.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_29898.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_30819.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_32328.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_33561.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_36211.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_37986.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_39183.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_39242.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_40043.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_40085.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_42180.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_45785.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_46824.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_48292.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_49862.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_51465.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_53054.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_53279.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_54235.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_55147.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_55561.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_57005.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_59324.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_60183.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_60890.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_60953.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_61370.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_61691.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_62507.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_64694.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_65384.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_65454.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_67142.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_67402.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_68009.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_68268.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_70902.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_72693.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_73316.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_73651.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_73771.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_74927.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_75758.csv
1,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_77498.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_78377.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_79513.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_80535.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_81179.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_84696.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_85475.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_86873.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_88144.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_88815.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_90343.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_90909.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_90995.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_91441.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_92693.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_93024.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_93349.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_93562.csv
1,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_94189.csv
1,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_94647.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_95430.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_96523.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_96714.csv
2,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_97346.csv
2,1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-124935_98791.csv
