layer_0,layer_1,layer_2,file_name
1,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_10400.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_11041.csv
2,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_11334.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_11912.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_12190.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_12316.csv
3,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_12446.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_15904.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_16339.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_16710.csv
0,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_17265.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_17716.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_17748.csv
0,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_18421.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_18622.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_19423.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_22861.csv
2,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_23107.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_24385.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_24407.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_25205.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_26136.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_27079.csv
0,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_27844.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_29071.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_30905.csv
3,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_32014.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_35606.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_36276.csv
0,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_36833.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_37103.csv
2,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_37260.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_38022.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_38723.csv
2,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_40860.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_41286.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_41522.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_42316.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_42556.csv
3,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_42702.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_43010.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_44561.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_44819.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_44882.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_46528.csv
1,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_47878.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_48524.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_51054.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_51371.csv
2,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_51534.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_51802.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_54804.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_55924.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_56019.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_57059.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_57351.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_58458.csv
3,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_60935.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_61022.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_64689.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_65723.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_66116.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_67651.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_69393.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_72488.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_73585.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_73984.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_75380.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_76063.csv
3,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_76504.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_78006.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_78416.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_78814.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_79124.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_79659.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_81343.csv
0,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_81666.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_81846.csv
3,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_83566.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_83998.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_84199.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_84387.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_84634.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_84842.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_85167.csv
3,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_86403.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_87946.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_88542.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_90492.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_91441.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_92952.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_94364.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_94696.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_95336.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_95439.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_96178.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_96517.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_97391.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_99293.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-153935_99878.csv
