layer_0,layer_1,layer_2,file_name
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_10080.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_10512.csv
1,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_11164.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_11830.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_11972.csv
1,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_13034.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_14761.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_15027.csv
1,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_15044.csv
1,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_16022.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_18424.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_20794.csv
0,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_22799.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_24161.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_24865.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_25622.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_25775.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_26298.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_26453.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_26473.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_27548.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_29891.csv
2,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_30441.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_31728.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_32180.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_33346.csv
1,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_33445.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_34294.csv
2,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_34471.csv
0,1,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_34516.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_38777.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_39252.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_40520.csv
2,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_42016.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_43169.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_43190.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_44611.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_45737.csv
0,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_46698.csv
0,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_47035.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_47974.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_48544.csv
0,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_50435.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_50466.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_50613.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_51849.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_53460.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_53925.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_54578.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_54732.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_55941.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_57251.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_58791.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_59194.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_59579.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_59897.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_60912.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_61124.csv
0,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_61197.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_61893.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_63423.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_64438.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_67880.csv
0,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_69398.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_69734.csv
2,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_71080.csv
0,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-121727_71361.csv
