layer_0,layer_1,layer_2,file_name
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_10644.csv
4,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_11602.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_12324.csv
4,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_12842.csv
4,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_14575.csv
5,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_14945.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_14986.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_15082.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_15829.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_18053.csv
4,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_19324.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_20346.csv
4,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_22747.csv
4,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_22853.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_23447.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_26215.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_26536.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_26827.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_27056.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_27619.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_27753.csv
4,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_29026.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_29106.csv
4,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_31373.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_32305.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_32532.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125258_34438.csv
