layer_0,layer_1,file_name
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_12951.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_19074.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_19922.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_23350.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_23616.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_24012.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_28305.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_32766.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_33124.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_34749.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_37134.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_38427.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_39449.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_43702.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_48813.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_50262.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_51915.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_58625.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_64288.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_65104.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_68050.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_73198.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_73357.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_73743.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_75146.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_80065.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_80587.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_81041.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_81048.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_82401.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_84366.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122351_95029.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_10383.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_12226.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_12269.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_15089.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_16652.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_17453.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_19108.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_19808.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_20750.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_21065.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_21696.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_23635.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_25680.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_26818.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_28428.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_29322.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_30905.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_31454.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_36193.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_37097.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_38524.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_39025.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_39669.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_40495.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_41349.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_42033.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_43842.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_44244.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_45153.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_45279.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_45743.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_45920.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_49821.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_49874.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_50327.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_51393.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_54607.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_55111.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_56472.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_57512.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_57807.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_58856.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_59604.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_60758.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_62077.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_63051.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_63857.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_65478.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_68846.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_69631.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_70574.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_71329.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_72849.csv
1,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_73556.csv
2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-122352_75899.csv
