layer_0,layer_1,layer_2,file_name
8,8,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_10808.csv
8,10,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_12833.csv
6,6,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_14574.csv
8,9,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_15715.csv
7,8,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_17410.csv
7,9,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_17976.csv
6,8,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_21094.csv
7,11,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_30012.csv
7,10,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_30078.csv
8,8,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_31347.csv
6,8,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_31425.csv
7,9,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_32606.csv
4,6,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_34653.csv
6,6,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_35052.csv
8,11,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_38123.csv
8,9,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_39908.csv
9,10,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_40081.csv
8,11,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_41422.csv
6,9,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_44240.csv
7,10,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_46322.csv
8,8,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_47120.csv
9,10,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_49899.csv
8,9,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_51991.csv
8,10,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_52991.csv
5,9,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_54577.csv
5,9,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_57238.csv
7,11,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-143613_57615.csv
