layer_0,layer_1,layer_2,file_name
9,9,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_12129.csv
10,8,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_12304.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_12478.csv
10,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_12802.csv
8,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_12992.csv
8,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_14207.csv
8,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_16518.csv
7,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_17106.csv
9,9,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_17953.csv
10,12,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_17969.csv
9,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_19609.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_19618.csv
9,9,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_22377.csv
10,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_22794.csv
8,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_24327.csv
7,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_24462.csv
9,9,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_24575.csv
8,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_25840.csv
11,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_25861.csv
8,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_25995.csv
11,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_26856.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_27327.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_27336.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_28704.csv
10,8,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_29848.csv
11,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_30824.csv
8,11,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_32013.csv
10,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_32016.csv
11,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_33593.csv
8,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_34135.csv
10,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_34460.csv
8,11,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_34733.csv
8,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_36284.csv
9,8,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_36685.csv
8,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_37213.csv
9,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_37429.csv
7,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_37447.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_38127.csv
10,8,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_38761.csv
11,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_39070.csv
7,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_39926.csv
7,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_40225.csv
8,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_41122.csv
10,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_41712.csv
8,9,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_45639.csv
10,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_47814.csv
9,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_48725.csv
9,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_48836.csv
8,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_48941.csv
10,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_49186.csv
11,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_49393.csv
9,9,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_49829.csv
10,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_50153.csv
9,11,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_51214.csv
10,8,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_51940.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_52669.csv
9,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_53674.csv
9,8,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_53783.csv
11,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_54070.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_56228.csv
11,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_56288.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_56348.csv
10,8,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_59215.csv
10,8,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_60627.csv
9,12,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_62608.csv
12,12,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_63088.csv
9,8,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_63579.csv
10,9,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_64102.csv
8,9,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_65240.csv
8,11,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_66527.csv
10,9,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_66677.csv
9,8,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_66862.csv
9,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_67486.csv
10,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_70474.csv
10,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_73137.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_73763.csv
10,12,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_73854.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_75332.csv
12,12,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_76659.csv
10,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_77971.csv
8,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_78577.csv
9,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_79716.csv
8,9,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_79811.csv
9,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_80763.csv
8,8,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_81433.csv
11,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_82591.csv
10,8,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_83840.csv
10,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_84669.csv
9,12,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_85430.csv
8,11,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_85948.csv
9,10,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_87976.csv
9,9,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_88332.csv
10,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_90048.csv
12,12,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_90950.csv
11,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_91590.csv
11,12,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_92252.csv
10,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_92604.csv
8,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_94486.csv
11,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_94772.csv
9,8,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-144506_98528.csv
