layer_0,layer_1,layer_2,file_name
8,11,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_10341.csv
4,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_11760.csv
4,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_11786.csv
5,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_13639.csv
5,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_15382.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_15486.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_16936.csv
3,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_17148.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_17701.csv
6,12,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_19957.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_20694.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_20828.csv
6,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_23118.csv
3,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_23615.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_24101.csv
5,9,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_24184.csv
5,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_27628.csv
6,12,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_28190.csv
3,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_28495.csv
3,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_28909.csv
5,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_28949.csv
5,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_29200.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_32777.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_33169.csv
7,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_34250.csv
6,9,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_34611.csv
5,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_35558.csv
5,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_36022.csv
4,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_40186.csv
7,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_41443.csv
5,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_42005.csv
5,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_44186.csv
4,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_44306.csv
4,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_45594.csv
4,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_47217.csv
5,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_47346.csv
4,10,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_48804.csv
3,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_49560.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_49696.csv
5,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_50960.csv
6,9,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_52080.csv
4,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_53341.csv
4,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_55863.csv
4,9,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_56397.csv
4,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_58043.csv
8,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_58186.csv
6,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_59182.csv
6,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_60276.csv
4,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_60484.csv
5,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_61568.csv
4,9,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_61616.csv
4,9,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_63154.csv
5,9,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_63342.csv
6,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_65366.csv
5,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_67897.csv
7,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_67923.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_68737.csv
7,11,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_68784.csv
5,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_69298.csv
7,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_70221.csv
5,9,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_71074.csv
6,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_73065.csv
4,10,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-160429_73246.csv
