layer_0,layer_1,layer_2,file_name
49,57,16,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_11642.csv
54,53,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_11930.csv
51,53,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_11932.csv
44,52,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_12247.csv
47,50,16,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_13767.csv
51,54,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_13837.csv
52,51,16,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_14468.csv
46,53,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_15177.csv
50,54,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_15731.csv
51,55,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_17019.csv
48,53,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_17205.csv
50,53,19,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_17745.csv
51,55,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_18966.csv
51,55,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_19058.csv
37,50,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_19193.csv
50,54,16,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_20643.csv
53,56,18,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_20761.csv
54,56,19,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_22729.csv
47,50,16,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_24376.csv
50,52,16,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_26390.csv
53,56,19,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_26561.csv
55,55,18,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_27223.csv
56,55,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_27563.csv
53,53,17,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-145229_28838.csv
