layer_0,layer_1,layer_2,file_name
3,6,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_10256.csv
4,4,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_11197.csv
5,2,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_11409.csv
4,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_13509.csv
4,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_16510.csv
5,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_17723.csv
5,6,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_17868.csv
4,4,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_19933.csv
3,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_20308.csv
4,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_20938.csv
3,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_21560.csv
4,8,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_21642.csv
5,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_23674.csv
5,5,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_24267.csv
4,3,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_24285.csv
2,2,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_26131.csv
5,5,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_27438.csv
6,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_28860.csv
6,5,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_29576.csv
4,2,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_29702.csv
5,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_30753.csv
5,7,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_30842.csv
4,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_30866.csv
4,7,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_31091.csv
7,5,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_32376.csv
3,4,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_36080.csv
3,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_38114.csv
2,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_39058.csv
3,4,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_39150.csv
3,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_40061.csv
0,5,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_40982.csv
5,6,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_42401.csv
3,5,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_42595.csv
6,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_43942.csv
3,2,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_43990.csv
2,4,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_45362.csv
3,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_46125.csv
4,5,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_46649.csv
7,5,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_46962.csv
4,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_47602.csv
5,7,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_48133.csv
2,2,3,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_48564.csv
5,5,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_49435.csv
4,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164321_50566.csv
