layer_0,layer_1,layer_2,file_name
5,4,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_10371.csv
5,2,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_12215.csv
7,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_12559.csv
3,6,3,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_12948.csv
7,5,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_13259.csv
7,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_13344.csv
4,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_13673.csv
5,2,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_15074.csv
5,2,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_15152.csv
7,4,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_17718.csv
5,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_18701.csv
6,2,3,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_19485.csv
6,1,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_23445.csv
5,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_23779.csv
6,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_24557.csv
4,5,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_24645.csv
5,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_25886.csv
5,5,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_26408.csv
3,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_27422.csv
6,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_27619.csv
6,4,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_28877.csv
5,2,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_29653.csv
7,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_29713.csv
3,2,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_29783.csv
5,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_30654.csv
4,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_32136.csv
6,3,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_36534.csv
5,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_36663.csv
4,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-164703_37136.csv
