layer_0,layer_1,layer_2,file_name
2,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_10965.csv
3,6,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_11193.csv
2,5,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_11432.csv
3,5,3,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_12301.csv
2,5,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_14504.csv
2,5,3,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_17277.csv
2,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_18197.csv
3,7,2,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_19396.csv
2,6,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_19900.csv
2,6,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_20128.csv
2,4,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_21103.csv
2,5,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_21723.csv
2,6,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_22116.csv
1,3,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_25192.csv
3,5,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_25521.csv
1,4,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_26194.csv
2,4,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_26847.csv
1,5,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_27487.csv
2,5,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_29160.csv
2,6,3,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_30118.csv
2,5,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_30669.csv
2,6,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_30762.csv
3,5,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_30874.csv
2,5,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_31338.csv
2,4,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_32320.csv
3,5,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_32600.csv
2,5,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_33332.csv
3,3,3,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_33528.csv
2,5,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_34259.csv
2,6,4,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165101_39812.csv
