layer_0,layer_1,layer_2,file_name
24,24,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_10612.csv
29,26,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_11409.csv
29,24,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_11936.csv
23,22,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_14794.csv
27,24,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_15366.csv
24,21,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_17605.csv
24,24,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_18550.csv
34,25,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_20410.csv
25,30,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_22567.csv
31,31,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_23042.csv
27,22,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_25763.csv
29,26,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_27202.csv
25,27,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_28444.csv
20,26,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_28797.csv
23,25,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_29843.csv
26,26,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_30033.csv
26,27,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_42009.csv
26,24,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_45417.csv
21,24,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_46599.csv
24,26,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_47259.csv
25,26,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_53716.csv
27,26,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_56124.csv
18,26,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_58127.csv
26,23,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_60147.csv
25,26,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_62208.csv
25,25,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_62699.csv
30,25,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_65499.csv
26,21,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_67159.csv
31,25,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_67413.csv
25,26,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_68280.csv
22,29,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_70053.csv
26,28,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_74123.csv
28,28,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_75764.csv
26,21,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_76084.csv
25,25,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_76108.csv
20,30,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_79817.csv
26,26,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_79965.csv
29,28,8,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_80184.csv
29,26,10,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_80720.csv
26,26,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_81462.csv
29,27,9,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_82225.csv
21,24,6,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_82577.csv
25,28,5,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_84262.csv
23,30,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_85658.csv
27,25,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_85875.csv
26,27,7,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_88453.csv
25,25,11,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-165636_89114.csv
