layer_0,layer_1,layer_2,file_name
7,4,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_10948.csv
7,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_12139.csv
7,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_15723.csv
7,4,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_15999.csv
5,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_16051.csv
7,4,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_16407.csv
6,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_16822.csv
7,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_16829.csv
7,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_19282.csv
6,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_19576.csv
7,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_19794.csv
6,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_21041.csv
7,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_23468.csv
7,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_25355.csv
5,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_25359.csv
6,4,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_25554.csv
7,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_26452.csv
7,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_26532.csv
5,4,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_27326.csv
7,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_27571.csv
6,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_28431.csv
7,4,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_29050.csv
5,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_29299.csv
7,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_30771.csv
7,4,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_31411.csv
6,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_31619.csv
6,3,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_32321.csv
6,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123502_35363.csv
