layer_0,layer_1,layer_2,file_name
7,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_10033.csv
7,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_11511.csv
5,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_12013.csv
6,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_12377.csv
6,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_13222.csv
7,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_14402.csv
6,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_15565.csv
6,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_17333.csv
5,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_19094.csv
8,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_19267.csv
6,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_19725.csv
5,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_20440.csv
7,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_20548.csv
7,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_20760.csv
5,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_21333.csv
5,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_21645.csv
6,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_22168.csv
7,3,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_22373.csv
6,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_22389.csv
7,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_22541.csv
7,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_23791.csv
6,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_25819.csv
8,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_26269.csv
7,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_26867.csv
6,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_26878.csv
6,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_29526.csv
6,2,4,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_30024.csv
6,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_33173.csv
7,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_34809.csv
6,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_35522.csv
7,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_35903.csv
7,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_36757.csv
6,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_37459.csv
5,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_37854.csv
5,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_38218.csv
6,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_39408.csv
7,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_39488.csv
7,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_43078.csv
6,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_45023.csv
5,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_45317.csv
6,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_46407.csv
6,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_46643.csv
7,2,1,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_47024.csv
5,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_49530.csv
6,2,4,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_50623.csv
6,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_53874.csv
7,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_57462.csv
5,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_59757.csv
7,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_60179.csv
9,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_60189.csv
8,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_61446.csv
5,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_61807.csv
7,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_62028.csv
7,2,4,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_62100.csv
5,2,2,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_62935.csv
6,2,3,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-123854_63827.csv
