layer_0,layer_1,layer_2,file_name
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_11452.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_14448.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_14453.csv
0,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_15582.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_15711.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_17277.csv
0,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_17419.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_18010.csv
2,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_18812.csv
2,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_18840.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_20008.csv
2,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_22015.csv
2,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_22480.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_25276.csv
0,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_25602.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_27206.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_27448.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_28419.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_29862.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_30117.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_30285.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_30344.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_30504.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_30510.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_33193.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_34785.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_36775.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_37624.csv
1,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_38603.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_39875.csv
0,1,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_39940.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_40119.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_40626.csv
1,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_40742.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_41623.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_43938.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_44136.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_44274.csv
0,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_44486.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_45153.csv
2,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_47290.csv
0,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_47450.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_48014.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_48181.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_49311.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_51011.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_51829.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_51918.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_52283.csv
0,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_52946.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_54760.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_54976.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_56856.csv
0,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_59065.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_59404.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_60425.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_62905.csv
0,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_63994.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_64284.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_64366.csv
1,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_64558.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_66575.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_67420.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_67737.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_68124.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_69259.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_69869.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_71082.csv
2,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_71164.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_71466.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_71722.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_72820.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_73935.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_74190.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_75220.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_75318.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_75683.csv
0,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_76972.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_77574.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_80614.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_80692.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_84540.csv
2,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_84762.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_86310.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_87435.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_87548.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_88891.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_89575.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_92988.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_93473.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_93877.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_94146.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_94182.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_94371.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_95583.csv
1,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_96775.csv
1,2,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_97377.csv
1,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_97689.csv
1,4,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_99479.csv
0,3,0,C:\Users\andr3\Desktop\LibraryBuilding\experiments\bounds_results\20240625-125637_99514.csv
