layer_0,layer_1,layer_2,file_name
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_13160.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_14077.csv
1,2,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_14203.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_14437.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_14657.csv
1,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_16192.csv
2,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_16897.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_17899.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_18274.csv
1,2,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_19234.csv
1,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_19472.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_20150.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_22167.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_22226.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_23383.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_24199.csv
1,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_28659.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_29345.csv
2,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_29472.csv
1,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_29890.csv
2,2,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_30463.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_32592.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_33605.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_34398.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-175719_34551.csv
