layer_0,layer_1,layer_2,file_name
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_10739.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_11908.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_12556.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_13520.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_15793.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_16532.csv
2,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_16718.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_16731.csv
0,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_18040.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_18237.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_18264.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_19808.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_20141.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_20209.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_21457.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_21874.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_22465.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_23633.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_24885.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_25226.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_26622.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_28324.csv
2,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_30351.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_30434.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_30719.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_31680.csv
2,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_35717.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_36845.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_38137.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_38490.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_40096.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_40681.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_41080.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_41331.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_41903.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_42301.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_45896.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_46963.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_47651.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_47685.csv
3,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_47995.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_49814.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_49987.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_53998.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_54291.csv
1,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_54599.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_56412.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_58924.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_59637.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_60041.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_60239.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_62274.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_62419.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_62438.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_63951.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_65424.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_65614.csv
3,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_66970.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_68446.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_68775.csv
