layer_0,layer_1,layer_2,file_name
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_10739.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_11908.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_12556.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_13520.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_15793.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_16532.csv
2,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_16718.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_16731.csv
0,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_18040.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_18237.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_18264.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_19808.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_20141.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_20209.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_21457.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_21874.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_22465.csv
2,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_23633.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_24885.csv
1,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_25226.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_26622.csv
2,1,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_28324.csv
2,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_30351.csv
1,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_30434.csv
2,2,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_30719.csv
1,0,1,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_31680.csv
2,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180046_35717.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_14542.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_15591.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_16992.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_17465.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_18550.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_19939.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_20069.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_20231.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_21057.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_24532.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_24714.csv
1,2,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_24764.csv
0,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_25502.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_26242.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_29757.csv
1,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_30584.csv
0,2,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_31168.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_31756.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_33108.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_34957.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_35242.csv
1,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_35379.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_37345.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_37632.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_38123.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_39038.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_39307.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_40195.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_40388.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_40723.csv
0,0,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_40807.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_41361.csv
0,1,0,C:\Users\andr3\Desktop\Instability-Analizer\experiments\bounds_results\20240628-180525_41610.csv
